n,b,qasm
3,"[(0.70923176181446+0j), 0j, 0j, 0j, (0.5638838666817236-0.42311380612032157j), 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate dcx _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
}
gate iswap _gate_q_0, _gate_q_1 {
  s _gate_q_0;
  s _gate_q_1;
  h _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
  h _gate_q_1;
}
qubit[3] q;
dcx q[0], q[1];
u3(1.5647769065113788, 5.6394562118641085, 3.4485800060259573) q[2];
cx q[1], q[0];
iswap q[1], q[0];
"
3,"[(0.7071067811865475+0j), (0.7071067811865475+0j), 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
qubit[3] q;
cz q[2], q[1];
s q[0];
csdg q[1], q[2];
h q[0];
cx q[1], q[2];
"
3,"[0j, 0j, 0j, 0j, (0.25987671459584916+0.4797877069975498j), (-0.12335041668358737-0.1119073575050943j), (0.22385993277105024-0.7529465711681067j), (0.011648542123412264+0.23948229662637788j)]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
ry(1.214230068444211) q[1];
rx(3.629261794803566) q[0];
y q[2];
id q[0];
sdg q[2];
tdg q[1];
rz(4.925868896772086) q[2];
y q[1];
u3(3.8374894685858196, 1.9937214980263833, 5.75441830481181) q[0];
"
3,"[(0.21059200898676836+0.3940554727632588j), (0.3940554727632588-0.21059200898676836j), (-0.44662812119177103-0.012330094260272872j), (-0.012330094260272872+0.44662812119177103j), (0.03588303920191466-0.22154840923345676j), (-0.22154840923345676-0.03588303920191466j), (0.17465945050118065+0.14094455110740178j), (0.14094455110740178-0.17465945050118065j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
x q[0];
sxdg q[2];
h q[1];
rz(4.873067197308987) q[0];
sdg q[1];
p(0.6918533209475627) q[2];
rx(2.2544062085981564) q[2];
rz(3.659997422936394) q[1];
sxdg q[0];
"
3,"[0j, -0.696440891626198j, 0j, (-0.09344292766280957+0.07898419931042652j), (-0.10802757531770833+0j), (0.6880115976493932+0j), (0.012251537269720855+0.014494285196882615j), (-0.07802822294040677-0.09231195170089565j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
gate ecr _gate_q_0, _gate_q_1 {
  rzx(pi/4) _gate_q_0, _gate_q_1;
  x _gate_q_0;
  rzx(-pi/4) _gate_q_0, _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
qubit[3] q;
ecr q[0], q[2];
u1(1.9337132297160373) q[1];
r(0.3478151157615063, 5.581445567695921) q[1];
x q[2];
cry(0.31148524117599286) q[2], q[0];
"
3,"[(0.46407556216377543-0.5335108926745318j), 0j, (0.5335108926745318+0.46407556216377543j), 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
qubit[3] q;
cx q[2], q[0];
sxdg q[1];
csdg q[1], q[2];
cy q[0], q[2];
ry(0.13898249253045805) q[1];
"
3,"[(0.40357174925048894-0.08106254393795376j), (0.3260050247088782-0.05708312898790427j), (-0.11387552161036904-0.34824144513309974j), (-0.08456446074729743-0.28218798853745886j), (0.40357174925048894-0.08106254393795376j), (-0.3260050247088782+0.05708312898790427j), (-0.11387552161036904-0.34824144513309974j), (0.08456446074729743+0.28218798853745886j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_minus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(-p1) _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sx _gate_q_0;
  rz(pi/2) _gate_q_0;
  s _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  ry(p0/2) _gate_q_0;
  ry(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  sdg _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sxdg _gate_q_0;
  rz(pi/2) _gate_q_0;
  rz(p1) _gate_q_1;
}
qubit[3] q;
xx_minus_yy(1.7872056847496527, 2.3313111200655245) q[2], q[0];
u3(0.11996293211437586, 0.3748618290593514, 1.0779299869296202) q[1];
sxdg q[2];
t q[0];
y q[1];
u2(1.4230140284890438, 0.6261681617310975) q[1];
y q[0];
s q[2];
"
3,"[(-0.4189136947676674+0j), (-0.05995691548367344+0.011518621110417111j), (0.0697378151860706-0.042527714450571644j), (-0.414855869736942+0.37683742379305873j), (-0.21795059662317984-0.35775161927725546j), (-0.041031007269833795-0.04521025092857319j), (-0.037429847164219814+0.07260148693090965j), (0.15822690603654588-0.5376579608192238j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_plus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(p1) _gate_q_0;
  rz(-pi/2) _gate_q_1;
  sx _gate_q_1;
  rz(pi/2) _gate_q_1;
  s _gate_q_0;
  cx _gate_q_1, _gate_q_0;
  ry(-p0/2) _gate_q_1;
  ry(-p0/2) _gate_q_0;
  cx _gate_q_1, _gate_q_0;
  sdg _gate_q_0;
  rz(-pi/2) _gate_q_1;
  sxdg _gate_q_1;
  rz(pi/2) _gate_q_1;
  rz(-p1) _gate_q_0;
}
gate xx_minus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(-p1) _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sx _gate_q_0;
  rz(pi/2) _gate_q_0;
  s _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  ry(p0/2) _gate_q_0;
  ry(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  sdg _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sxdg _gate_q_0;
  rz(pi/2) _gate_q_0;
  rz(p1) _gate_q_1;
}
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
qubit[3] q;
id q[2];
xx_plus_yy(4.089578336701519, 3.498541102137041) q[1], q[0];
u2(1.0236226270514246, 0.43258921376868553) q[2];
xx_minus_yy(1.8578578570277942, 4.17550597504054) q[1], q[0];
cs q[2], q[1];
U(5.993739080053022, 2.9517902200349537, 6.2724574046699075) q[0];
"
3,"[0j, (-0.27769241337190687+0.30853697758879417j), 0j, (-0.19882358585754967+0.2388182498282697j), 0j, (0.6671270229377829-0.15325269352849216j), 0j, (0.4946245090387237-0.13389781373271312j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
r(2.0513314540321796, 6.0411637260928055) q[2];
x q[0];
t q[1];
sxdg q[1];
rz(5.542280927065884) q[0];
sdg q[2];
id q[0];
u3(2.6642792585123036, 0.928563560724189, 2.4814728478110006) q[1];
rz(0.8541836218095943) q[2];
"
3,"[0j, 0j, (-0.167327102068933+0.3277735202825544j), (-0.3806659404534823+0.4686785701239824j), 0j, 0j, (-0.3277735202825544-0.167327102068933j), (-0.4686785701239824-0.3806659404534823j)]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
z q[1];
sx q[2];
u3(4.5259117519710435, 5.963970739560466, 0.28762259581737754) q[0];
p(2.3295138408719187) q[1];
rz(2.9756476359537873) q[0];
x q[2];
sx q[0];
y q[1];
y q[2];
"
3,"[(0.3486530726220349+0j), 0j, 0j, (0.45283430123097873-0.8205986415903119j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
z q[2];
cry(4.165776814013226) q[0], q[1];
cy q[2], q[0];
U(2.4293254218171816, 3.645842901211992, 2.9287119275584885) q[1];
cy q[1], q[0];
"
3,"[0j, (0.1987186524850849+0.30020752039101417j), 0j, (0.02373846058216067+0.1007018452983573j), 0j, (0.4716103952571309-0.7560975104736172j), 0j, (0.20232745169192912-0.15698967396216276j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
y q[0];
h q[1];
x q[2];
rzx(3.0157609866813737) q[0], q[1];
tdg q[0];
u3(5.515275174947999, 4.284008920933185, 1.990838530917309) q[2];
u3(1.1638521236562254, 4.306939361900377, 2.746047563312791) q[1];
"
3,"[(-0.7270219188458638+0j), 0j, (-0.6207430331556683-0.29345735006364954j), 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
qubit[3] q;
sdg q[2];
cu1(3.4494692601378794) q[1], q[0];
t q[0];
cry(4.700384981229369) q[2], q[1];
csdg q[2], q[0];
u3(4.769541830739887, 3.583205015329576, 5.890790127433067) q[1];
"
3,"[(-0.08246310616774655+0j), 0.14713804089723104j, (0.5448977394848603+0.283289779320985j), (-0.6428568521785877-0.42558037441320756j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_minus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(-p1) _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sx _gate_q_0;
  rz(pi/2) _gate_q_0;
  s _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  ry(p0/2) _gate_q_0;
  ry(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  sdg _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sxdg _gate_q_0;
  rz(pi/2) _gate_q_0;
  rz(p1) _gate_q_1;
}
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
csdg q[0], q[2];
u2(1.7196253672548971, 3.836016521155688) q[1];
xx_minus_yy(3.623309240654229, 6.185215210512217) q[0], q[1];
rzx(2.119935230173607) q[1], q[0];
"
3,"[(0.3535533905932738+0.3535533905932738j), (0.3535533905932738-0.3535533905932738j), (-0.3535533905932738+0.3535533905932738j), (0.3535533905932738+0.3535533905932738j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
gate ecr _gate_q_0, _gate_q_1 {
  rzx(pi/4) _gate_q_0, _gate_q_1;
  x _gate_q_0;
  rzx(-pi/4) _gate_q_0, _gate_q_1;
}
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
ecr q[0], q[1];
p(4.4285116285086685) q[2];
cz q[1], q[0];
csdg q[2], q[1];
sxdg q[0];
"
3,"[(0.2707516037505669+0j), 0j, 0j, (0.6666755897254604+0.13744250651620699j), 0j, 0j, 0j, (0.6666755897254604+0.13744250651620699j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
qubit[3] q;
csdg q[0], q[2];
U(2.593245230015197, 4.915701499481389, 5.90412455041563) q[1];
t q[0];
ch q[1], q[2];
cy q[1], q[0];
"
3,"[(0.29456941084682053+0j), 0j, (-0.6360071606428872+0j), 0j, -0.2869035373073302j, 0j, -0.6530008530506458j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate iswap _gate_q_0, _gate_q_1 {
  s _gate_q_0;
  s _gate_q_1;
  h _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
  h _gate_q_1;
}
gate rxx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_0;
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
  h _gate_q_0;
}
qubit[3] q;
s q[0];
rx(1.5444307684806244) q[2];
iswap q[1], q[0];
rxx(2.294054185104471) q[1], q[2];
sdg q[0];
"
3,"[(0.006186481269996685+0.35349926088960343j), (0.006186481269996685+0.35349926088960343j), (-0.35349926088960343+0.006186481269996685j), (-0.35349926088960343+0.006186481269996685j), (0.006186481269996658+0.3534992608896034j), (0.006186481269996658+0.3534992608896034j), (-0.3534992608896034+0.006186481269996658j), (-0.3534992608896034+0.006186481269996658j)]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
sx q[1];
h q[2];
ry(4.8152038779407205) q[1];
tdg q[2];
h q[0];
h q[1];
t q[2];
rx(1.7086090333080175) q[0];
"
3,"[(0.045882246855983515-0.06844896862908406j), (-0.18200975806376396-0.8826805561530742j), (0.00299399766749883-0.004493850067939603j), (-0.012089645089093248-0.057807602761776454j), (0.03755744043661422-0.007365529025118918j), (0.2305390980399506-0.3493826450392897j), (0.0024597429210957717-0.0004895797062342841j), (0.015042580176252294-0.022937191162855j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate iswap _gate_q_0, _gate_q_1 {
  s _gate_q_0;
  s _gate_q_1;
  h _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
  h _gate_q_1;
}
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
gate ecr _gate_q_0, _gate_q_1 {
  rzx(pi/4) _gate_q_0, _gate_q_1;
  x _gate_q_0;
  rzx(-pi/4) _gate_q_0, _gate_q_1;
}
qubit[3] q;
iswap q[0], q[2];
h q[1];
ecr q[0], q[1];
z q[2];
u2(4.709575576467199, 3.010721281449122) q[1];
u3(6.100826136985812, 5.489311386131667, 6.153745706016245) q[0];
u3(5.413569292229767, 3.9282101379936467, 5.432521020001397) q[2];
"
3,"[0j, 0j, (0.3026404542600313-0.8527544213850261j), 0j, 0j, 0j, (0.40456602117202545-0.13245749041336663j), 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
qubit[3] q;
tdg q[0];
U(5.202567631084235, 5.520026712106011, 3.995826803930224) q[2];
x q[1];
z q[2];
rzz(4.386766571691377) q[0], q[1];
cs q[0], q[1];
h q[2];
"
3,"[(-0.2344013185932323-0.2344013185932323j), (-0.17201162191476616-0.28337247262700643j), (0.2646809812618844-0.2646809812618844j), (0.19423186332776485+0.3199781663672264j), (-0.2344013185932323+0.2344013185932323j), (-0.28337247262700643+0.17201162191476616j), (-0.2646809812618844-0.2646809812618844j), (0.3199781663672264-0.19423186332776485j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
qubit[3] q;
s q[1];
sdg q[0];
sxdg q[2];
rx(4.591196174863513) q[1];
u2(0.23983581129597942, 4.165306630827802) q[0];
cs q[0], q[1];
x q[2];
"
3,"[(0.35355339059327373-0.35355339059327373j), (-0.24429933780624027-0.24429933780624027j), (0.29791950036878234+0.19322758473538473j), (0.04765888632883551-0.04765888632883551j), (0.49769597714127334+0.047944909400196106j), (0.0331291112722564-0.34389939646856815j), (0.0403853328977368+0.3527916567740713j), (0.06708926185403671+0.006462958772127627j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_plus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(p1) _gate_q_0;
  rz(-pi/2) _gate_q_1;
  sx _gate_q_1;
  rz(pi/2) _gate_q_1;
  s _gate_q_0;
  cx _gate_q_1, _gate_q_0;
  ry(-p0/2) _gate_q_1;
  ry(-p0/2) _gate_q_0;
  cx _gate_q_1, _gate_q_0;
  sdg _gate_q_0;
  rz(-pi/2) _gate_q_1;
  sxdg _gate_q_1;
  rz(pi/2) _gate_q_1;
  rz(-p1) _gate_q_0;
}
qubit[3] q;
sxdg q[0];
tdg q[2];
tdg q[1];
crx(0.27042260277568037) q[0], q[1];
xx_plus_yy(4.6849730536900696, 1.3607814758961894) q[0], q[1];
u2(0.8814355424423919, 5.575097899082188) q[2];
"
