n,N,cond_number,pauli_strings,coefficients
8,3,5.207414150238037,"[[0, 0, 1, 3, 0, 3, 3, 0], [3, 1, 0, 3, 3, 2, 0, 2], [0, 2, 0, 3, 3, 3, 0, 3]]","[1.71, -0.63, 1.58]"
8,3,8.238751411437988,"[[0, 0, 1, 3, 2, 1, 3, 0], [0, 2, 1, 3, 1, 2, 0, 0], [2, 2, 0, 1, 1, 0, 3, 1]]","[1.97, 1.51, -0.32]"
8,3,3.652827501296997,"[[1, 0, 0, 0, 2, 3, 2, 1], [0, 2, 2, 0, 2, 0, 1, 1], [3, 3, 1, 2, 1, 1, 3, 0]]","[-0.67, 3.8, -2.2]"
8,3,6.118288516998291,"[[2, 2, 2, 2, 1, 1, 2, 2], [1, 3, 2, 0, 3, 0, 1, 2], [0, 1, 0, 1, 1, 1, 0, 0]]","[-1.6, -2.38, 1.71]"
8,3,31.6154842376709,"[[2, 1, 1, 3, 2, 1, 0, 1], [2, 0, 3, 3, 2, 0, 3, 2], [1, 0, 3, 1, 1, 3, 2, 2]]","[-1.44, 0.55, 2.12]"
8,3,6.893172740936279,"[[0, 3, 0, 0, 2, 1, 1, 3], [0, 0, 0, 2, 0, 0, 3, 1], [3, 3, 1, 0, 1, 0, 1, 0]]","[-2.95, -2.31, 0.42]"
8,3,19.33357048034668,"[[2, 2, 0, 1, 3, 3, 0, 0], [2, 0, 2, 1, 3, 3, 2, 0], [3, 0, 1, 3, 2, 3, 0, 1]]","[0.1, 0.62, -0.55]"
8,3,3.684253931045532,"[[1, 2, 0, 3, 1, 3, 3, 3], [3, 1, 1, 1, 0, 1, 2, 3], [1, 0, 0, 3, 0, 2, 2, 0]]","[-1.68, -0.61, 2.72]"
8,3,8.725399017333984,"[[1, 2, 0, 0, 3, 3, 0, 1], [1, 3, 2, 0, 2, 0, 0, 1], [3, 2, 2, 3, 3, 1, 3, 0]]","[-3.58, 2.17, -3.95]"
8,3,3.7727417945861816,"[[0, 3, 3, 3, 1, 1, 1, 2], [1, 3, 2, 2, 3, 2, 0, 0], [3, 2, 2, 0, 2, 1, 0, 3]]","[1.05, -0.18, -0.43]"
8,3,11.800025939941406,"[[0, 3, 3, 2, 2, 3, 3, 0], [3, 3, 0, 1, 3, 2, 2, 1], [1, 2, 1, 3, 0, 3, 2, 0]]","[-1.89, 1.16, -1.08]"
8,3,16.18779945373535,"[[1, 1, 2, 3, 2, 3, 2, 2], [0, 0, 0, 1, 2, 1, 3, 1], [1, 0, 2, 3, 0, 3, 2, 0]]","[-1.4, 1.02, 0.7]"
8,3,13.827580451965332,"[[2, 0, 3, 3, 1, 2, 0, 0], [1, 1, 2, 3, 0, 0, 0, 1], [3, 3, 3, 1, 1, 2, 2, 0]]","[2.15, -1.46, -0.4]"
8,3,3.1454977989196777,"[[3, 1, 0, 1, 1, 0, 1, 2], [3, 0, 0, 1, 0, 2, 0, 1], [0, 1, 1, 2, 3, 0, 3, 1]]","[1.62, 0.87, 2.73]"
8,3,4.614044666290283,"[[0, 2, 0, 2, 1, 2, 1, 3], [2, 1, 0, 1, 2, 1, 1, 0], [0, 1, 3, 0, 1, 0, 2, 3]]","[1.03, -0.79, -0.81]"
8,3,14.506170272827148,"[[2, 1, 3, 0, 0, 2, 2, 2], [1, 2, 3, 3, 1, 1, 3, 1], [3, 0, 0, 0, 0, 2, 0, 3]]","[1.2, 0.05, 1.37]"
8,3,7.144083499908447,"[[1, 3, 2, 3, 3, 3, 1, 0], [1, 0, 3, 2, 1, 3, 3, 2], [1, 2, 3, 1, 3, 1, 2, 0]]","[1.11, 2.41, 1.44]"
8,3,8.81250286102295,"[[2, 1, 0, 3, 2, 1, 1, 1], [0, 3, 2, 0, 2, 2, 0, 0], [3, 0, 0, 2, 2, 2, 1, 2]]","[0.88, 3.14, -1.62]"
8,3,5.167606830596924,"[[0, 2, 0, 0, 1, 3, 1, 1], [3, 2, 0, 2, 2, 2, 1, 1], [0, 1, 1, 3, 1, 2, 0, 0]]","[-0.11, -0.11, -0.12]"
8,3,7.98182487487793,"[[0, 1, 0, 1, 3, 3, 1, 3], [1, 3, 2, 1, 0, 2, 0, 0], [1, 2, 1, 1, 2, 0, 1, 0]]","[2.47, -1.86, -0.06]"
8,3,4.241641998291016,"[[2, 2, 3, 2, 2, 0, 1, 1], [3, 2, 1, 3, 1, 2, 2, 3], [1, 2, 3, 0, 3, 0, 1, 1]]","[1.0, 1.35, -0.89]"
8,3,7.525225162506103,"[[2, 1, 1, 3, 1, 3, 3, 0], [0, 2, 2, 3, 1, 2, 3, 3], [2, 3, 1, 3, 0, 0, 2, 1]]","[0.68, -0.27, 0.56]"
8,3,68.06876373291016,"[[3, 2, 3, 1, 3, 1, 3, 0], [2, 0, 2, 1, 1, 1, 1, 2], [1, 0, 2, 0, 2, 3, 3, 1]]","[0.29, -0.28, -0.03]"
8,3,5.227189064025879,"[[3, 2, 3, 0, 3, 3, 2, 3], [2, 0, 2, 0, 1, 0, 2, 1], [0, 1, 3, 1, 2, 0, 1, 0]]","[2.28, -1.61, -0.33]"
8,3,5.991939544677734,"[[0, 0, 1, 0, 2, 0, 2, 1], [3, 0, 0, 0, 1, 3, 0, 2], [3, 3, 1, 0, 0, 1, 2, 0]]","[-2.84, 0.48, -1.97]"
8,3,9.636388778686523,"[[0, 2, 1, 0, 1, 3, 0, 0], [1, 1, 3, 2, 2, 2, 3, 3], [1, 2, 3, 1, 2, 0, 2, 1]]","[-0.46, -0.95, -0.71]"
8,3,9.845216751098633,"[[0, 2, 0, 2, 3, 2, 0, 1], [1, 0, 0, 3, 2, 0, 1, 3], [3, 0, 1, 3, 0, 1, 3, 0]]","[-0.45, -0.31, 0.67]"
8,3,7.5660223960876465,"[[0, 3, 2, 2, 2, 0, 0, 2], [2, 3, 2, 0, 0, 0, 0, 3], [1, 2, 0, 3, 2, 3, 3, 0]]","[2.26, -1.11, 1.93]"
8,3,11.000014305114746,"[[0, 2, 3, 3, 3, 2, 2, 1], [2, 2, 0, 3, 0, 1, 3, 2], [3, 1, 2, 1, 3, 2, 3, 1]]","[0.95, 0.0, -1.14]"
8,3,4.44152307510376,"[[0, 0, 1, 1, 1, 0, 3, 3], [0, 2, 0, 0, 2, 3, 0, 2], [1, 2, 0, 1, 2, 1, 3, 2]]","[-0.05, 0.01, -0.03]"
8,3,16.000019073486328,"[[2, 2, 3, 2, 0, 2, 0, 0], [0, 1, 3, 2, 0, 3, 2, 1], [2, 0, 2, 2, 0, 1, 0, 1]]","[0.22, 0.23, 0.51]"
8,3,7.600025177001953,"[[3, 3, 2, 2, 0, 1, 0, 0], [0, 0, 0, 0, 3, 0, 2, 3], [0, 1, 0, 0, 3, 2, 3, 1]]","[-0.1, 0.43, 0.23]"
8,3,4.44406270980835,"[[0, 2, 2, 2, 1, 1, 1, 2], [3, 2, 1, 1, 0, 2, 3, 0], [0, 3, 2, 0, 1, 3, 2, 2]]","[-0.08, -0.43, 0.26]"
8,3,4.6570353507995605,"[[2, 3, 2, 0, 0, 3, 0, 0], [2, 3, 1, 0, 2, 0, 3, 1], [0, 0, 1, 1, 3, 1, 0, 1]]","[-0.9, 0.29, -1.27]"
8,3,4.513522148132324,"[[0, 1, 3, 3, 0, 1, 1, 1], [3, 1, 3, 3, 0, 3, 2, 0], [1, 0, 0, 1, 0, 2, 1, 1]]","[-0.31, -0.99, 2.04]"
8,3,3.844148874282837,"[[3, 3, 0, 1, 3, 3, 3, 3], [3, 0, 1, 2, 3, 1, 3, 0], [2, 2, 0, 3, 0, 1, 1, 1]]","[0.26, -0.44, 0.05]"
8,3,3.521214008331299,"[[2, 3, 2, 3, 0, 2, 0, 1], [2, 2, 2, 2, 2, 1, 3, 2], [3, 1, 0, 0, 0, 3, 1, 2]]","[-0.57, -1.51, -3.73]"
8,3,7.305379390716553,"[[3, 3, 2, 3, 0, 0, 3, 0], [3, 0, 0, 0, 1, 2, 3, 1], [0, 3, 3, 2, 3, 0, 2, 0]]","[0.38, 0.43, 0.42]"
8,3,3.87117862701416,"[[3, 3, 1, 1, 0, 2, 0, 3], [0, 1, 3, 2, 1, 0, 2, 3], [3, 0, 0, 3, 0, 3, 2, 3]]","[-1.97, -0.75, -1.46]"
8,3,8.279006004333496,"[[3, 0, 3, 2, 3, 0, 1, 0], [3, 3, 2, 3, 1, 0, 1, 2], [1, 1, 2, 2, 2, 3, 2, 1]]","[-3.14, 1.28, 2.66]"
8,3,38.9999885559082,"[[3, 2, 0, 1, 2, 2, 3, 2], [2, 3, 1, 0, 3, 1, 0, 2], [2, 3, 2, 2, 2, 0, 2, 0]]","[0.44, 0.8, -0.32]"
8,3,18.195083618164062,"[[0, 1, 1, 2, 3, 3, 0, 1], [3, 2, 3, 3, 2, 3, 0, 3], [3, 2, 2, 1, 1, 1, 3, 3]]","[0.32, -0.56, -0.72]"
8,3,9.870597839355469,"[[1, 3, 2, 1, 3, 3, 1, 1], [2, 1, 3, 0, 3, 1, 3, 2], [2, 1, 3, 1, 3, 3, 0, 3]]","[2.04, 3.77, -2.58]"
8,3,23.14961814880371,"[[0, 3, 1, 2, 1, 3, 3, 2], [3, 2, 2, 3, 2, 2, 2, 2], [0, 0, 3, 0, 2, 3, 2, 3]]","[-2.61, 2.21, 0.92]"
8,3,53.00474166870117,"[[1, 2, 1, 2, 0, 3, 2, 0], [3, 1, 2, 1, 0, 2, 0, 1], [3, 1, 2, 0, 3, 2, 2, 1]]","[-0.57, -0.74, 0.97]"
8,3,5.48414945602417,"[[0, 1, 0, 1, 1, 2, 3, 0], [0, 2, 1, 3, 3, 1, 1, 2], [0, 0, 2, 3, 0, 2, 3, 3]]","[0.28, -1.7, 1.24]"
8,3,36.39787292480469,"[[1, 0, 1, 2, 3, 1, 2, 1], [2, 0, 3, 1, 2, 3, 1, 2], [1, 2, 2, 0, 2, 3, 0, 2]]","[-1.4, -4.6, 5.08]"
8,3,21.381845474243164,"[[0, 2, 3, 2, 1, 3, 2, 2], [1, 1, 0, 2, 1, 3, 0, 0], [1, 3, 0, 1, 1, 3, 1, 1]]","[-0.37, -0.05, 0.34]"
8,3,6.205188751220703,"[[1, 0, 2, 1, 2, 1, 0, 3], [1, 1, 3, 1, 3, 2, 3, 1], [1, 1, 2, 1, 1, 0, 0, 2]]","[-0.21, -0.02, -0.29]"
8,3,7.006232261657715,"[[3, 1, 2, 1, 1, 2, 0, 1], [0, 3, 3, 3, 2, 2, 1, 2], [2, 3, 1, 2, 3, 1, 3, 1]]","[-0.42, -2.43, -1.85]"
8,3,5.877497673034668,"[[0, 0, 1, 2, 1, 1, 2, 0], [3, 0, 2, 2, 2, 1, 0, 1], [3, 2, 1, 1, 1, 0, 3, 0]]","[1.17, -0.54, 0.63]"
8,3,25.954776763916016,"[[0, 0, 1, 3, 1, 2, 3, 1], [0, 1, 3, 3, 0, 2, 3, 0], [1, 1, 3, 0, 0, 2, 0, 1]]","[0.04, -1.83, 1.7]"
8,3,12.240781784057615,"[[3, 1, 0, 0, 0, 1, 1, 2], [2, 0, 1, 3, 1, 2, 1, 3], [3, 3, 0, 2, 0, 3, 2, 3]]","[-0.12, -2.17, -2.56]"
8,3,94.6002197265625,"[[1, 3, 2, 2, 1, 1, 3, 2], [0, 1, 1, 2, 0, 2, 1, 2], [0, 0, 1, 0, 0, 1, 2, 2]]","[-2.39, -0.85, 1.49]"
8,3,16.90384292602539,"[[0, 3, 0, 1, 0, 1, 1, 2], [1, 0, 3, 0, 3, 1, 0, 1], [3, 3, 2, 2, 3, 3, 0, 2]]","[0.11, -0.09, 0.16]"
8,3,6.416674613952637,"[[2, 0, 3, 2, 3, 2, 2, 1], [1, 2, 3, 2, 0, 3, 2, 0], [2, 3, 1, 0, 3, 1, 0, 0]]","[-0.86, 0.92, -1.3]"
8,3,7.3925275802612305,"[[2, 1, 3, 3, 3, 2, 1, 2], [2, 1, 0, 2, 2, 0, 3, 0], [3, 2, 3, 3, 0, 0, 2, 3]]","[-0.07, 0.89, -0.68]"
8,3,20.500015258789062,"[[2, 3, 0, 0, 1, 1, 2, 0], [1, 2, 2, 1, 3, 2, 0, 1], [2, 1, 2, 0, 3, 1, 0, 3]]","[-0.19, -0.43, -0.2]"
8,3,8.851035118103027,"[[2, 1, 2, 1, 2, 2, 1, 0], [1, 2, 3, 3, 2, 3, 2, 0], [1, 0, 1, 3, 1, 2, 0, 3]]","[1.74, 1.79, 1.25]"
8,3,12.89096450805664,"[[2, 1, 0, 3, 0, 1, 0, 0], [0, 0, 2, 2, 0, 0, 3, 2], [0, 2, 0, 0, 1, 0, 1, 1]]","[0.16, 1.04, -1.08]"
8,3,20.625083923339844,"[[3, 0, 3, 3, 0, 1, 3, 2], [1, 0, 2, 1, 1, 2, 0, 0], [2, 1, 3, 2, 2, 0, 0, 0]]","[1.36, 1.57, -0.37]"
8,3,35.50004196166992,"[[2, 3, 3, 2, 1, 2, 0, 2], [2, 2, 2, 2, 2, 2, 1, 1], [0, 3, 0, 3, 2, 0, 2, 2]]","[-0.73, 0.53, 0.16]"
8,3,18.58281707763672,"[[2, 2, 1, 0, 2, 3, 1, 2], [1, 3, 0, 2, 2, 0, 0, 3], [2, 3, 2, 1, 3, 0, 1, 1]]","[0.47, 0.41, -0.56]"
8,3,6.807702541351318,"[[2, 0, 0, 1, 0, 3, 1, 2], [3, 0, 0, 1, 0, 0, 0, 1], [1, 0, 1, 3, 1, 0, 0, 0]]","[-0.91, -2.03, -0.6]"
8,3,8.753395080566406,"[[3, 3, 0, 2, 3, 2, 0, 2], [1, 2, 3, 1, 1, 2, 1, 2], [0, 1, 1, 1, 0, 1, 2, 3]]","[2.63, -0.84, 3.2]"
8,3,6.000005722045898,"[[3, 0, 2, 3, 3, 1, 1, 2], [1, 3, 2, 1, 3, 2, 1, 3], [1, 1, 3, 2, 3, 0, 0, 1]]","[2.52, -1.28, 0.52]"
8,3,7.300948143005371,"[[2, 2, 0, 0, 3, 2, 3, 2], [2, 0, 3, 3, 2, 0, 2, 3], [2, 3, 3, 1, 3, 1, 3, 2]]","[0.16, -0.24, 0.38]"
8,3,8.549721717834473,"[[1, 3, 3, 2, 2, 1, 1, 3], [3, 0, 1, 0, 3, 2, 1, 0], [1, 0, 1, 0, 3, 1, 2, 1]]","[-0.84, 0.63, 0.21]"
8,3,14.603802680969238,"[[3, 2, 3, 0, 1, 3, 3, 2], [3, 3, 0, 2, 2, 2, 2, 2], [3, 3, 1, 3, 1, 2, 0, 2]]","[0.63, -1.77, 1.93]"
8,3,48.14287185668945,"[[0, 0, 1, 1, 2, 3, 0, 1], [3, 0, 1, 0, 1, 3, 2, 2], [3, 1, 1, 2, 3, 3, 1, 0]]","[1.02, -0.63, -1.72]"
8,3,61.00017547607422,"[[2, 0, 0, 2, 3, 3, 1, 2], [2, 1, 1, 0, 1, 0, 3, 0], [2, 3, 2, 0, 3, 2, 1, 3]]","[-0.14, -0.31, -0.16]"
8,3,13.00000286102295,"[[3, 3, 0, 2, 2, 1, 2, 1], [1, 2, 2, 3, 2, 1, 2, 3], [2, 2, 0, 3, 3, 1, 0, 0]]","[0.0, 0.07, 0.06]"
8,3,16.364604949951172,"[[2, 0, 0, 2, 1, 3, 0, 2], [0, 3, 0, 2, 2, 3, 3, 1], [0, 3, 2, 2, 2, 0, 2, 2]]","[0.51, -1.13, -0.86]"
8,3,58.00008010864258,"[[1, 0, 3, 2, 2, 0, 3, 0], [1, 0, 2, 2, 2, 0, 2, 3], [2, 0, 2, 0, 1, 2, 2, 0]]","[-0.7, 2.25, -2.85]"
8,3,9.33335018157959,"[[1, 2, 1, 3, 0, 2, 0, 2], [2, 3, 2, 1, 0, 2, 3, 0], [2, 0, 1, 0, 3, 3, 0, 0]]","[1.04, -1.5, -0.82]"
8,3,13.000030517578123,"[[0, 0, 1, 2, 3, 1, 0, 0], [3, 0, 1, 1, 2, 1, 2, 2], [3, 1, 1, 0, 2, 2, 0, 3]]","[0.72, 0.37, 0.47]"
8,3,9.146355628967283,"[[1, 1, 2, 1, 0, 2, 1, 2], [1, 2, 3, 2, 3, 1, 2, 1], [0, 3, 1, 2, 2, 2, 2, 0]]","[-2.08, 0.66, -1.01]"
8,3,22.166719436645508,"[[3, 2, 1, 2, 1, 0, 0, 1], [3, 2, 0, 3, 1, 2, 2, 2], [0, 0, 3, 0, 0, 2, 3, 3]]","[-1.39, 0.76, 0.51]"
8,3,6.397548675537109,"[[1, 3, 1, 2, 0, 0, 0, 2], [3, 0, 2, 3, 2, 1, 0, 3], [3, 2, 2, 0, 3, 2, 0, 1]]","[2.26, 2.88, -1.14]"
8,3,49.193389892578125,"[[1, 2, 3, 2, 0, 3, 3, 3], [0, 0, 0, 2, 0, 2, 2, 1], [1, 0, 0, 1, 2, 3, 3, 2]]","[0.49, -2.78, 2.94]"
8,3,25.22283172607422,"[[0, 0, 3, 2, 1, 2, 1, 0], [1, 1, 1, 0, 0, 0, 2, 3], [1, 3, 3, 0, 2, 0, 2, 2]]","[3.91, -3.09, -1.87]"
8,3,6.427202224731445,"[[3, 1, 1, 2, 0, 1, 1, 1], [2, 0, 1, 1, 0, 2, 2, 0], [3, 1, 0, 0, 2, 2, 1, 0]]","[-0.13, 0.18, 0.02]"
8,3,17.72728157043457,"[[1, 1, 2, 2, 2, 3, 2, 3], [0, 3, 1, 3, 3, 1, 1, 3], [2, 0, 3, 2, 0, 1, 2, 2]]","[0.35, 0.57, 1.03]"
8,3,91.3206024169922,"[[3, 1, 3, 1, 1, 3, 3, 3], [0, 2, 0, 1, 3, 2, 3, 0], [1, 1, 3, 0, 1, 3, 1, 3]]","[1.17, -0.98, -1.56]"
8,3,6.306822299957275,"[[1, 3, 1, 0, 0, 3, 3, 2], [2, 0, 3, 1, 0, 2, 3, 0], [3, 3, 0, 3, 0, 3, 2, 3]]","[-0.6, -2.21, -2.72]"
8,3,36.0001335144043,"[[0, 2, 0, 2, 3, 1, 1, 3], [3, 3, 0, 3, 1, 2, 3, 2], [1, 3, 2, 0, 3, 2, 2, 1]]","[0.44, -0.74, 0.26]"
8,3,6.202116012573242,"[[2, 0, 3, 1, 2, 0, 0, 3], [3, 0, 1, 3, 2, 0, 2, 3], [0, 2, 3, 0, 0, 1, 3, 3]]","[1.7, 0.63, 2.51]"
8,3,46.20671463012695,"[[3, 2, 2, 3, 0, 2, 3, 3], [2, 1, 0, 2, 3, 1, 2, 0], [3, 1, 1, 0, 2, 2, 3, 0]]","[0.26, -3.08, -2.96]"
8,3,30.091955184936523,"[[3, 0, 3, 0, 2, 1, 3, 2], [0, 2, 3, 0, 3, 2, 3, 2], [3, 0, 0, 0, 2, 0, 2, 2]]","[0.02, 0.3, 0.32]"
8,3,77.95907592773438,"[[2, 1, 1, 3, 3, 2, 0, 3], [0, 2, 0, 3, 2, 2, 3, 3], [1, 1, 3, 3, 0, 2, 3, 3]]","[1.06, -0.93, 0.45]"
8,3,9.000031471252441,"[[2, 1, 3, 2, 2, 3, 0, 3], [3, 1, 0, 2, 1, 1, 0, 1], [1, 3, 0, 3, 2, 1, 0, 0]]","[0.03, -0.05, 0.01]"
8,3,7.713364601135254,"[[2, 0, 0, 2, 0, 2, 3, 1], [1, 1, 1, 3, 2, 3, 2, 0], [0, 2, 0, 2, 0, 1, 2, 2]]","[-1.11, 1.44, 0.02]"
8,3,60.33352279663086,"[[3, 1, 1, 2, 1, 2, 3, 0], [1, 0, 2, 1, 1, 0, 1, 3], [3, 0, 2, 0, 3, 3, 2, 1]]","[-0.34, 1.84, 1.44]"
8,3,23.84471321105957,"[[0, 0, 0, 3, 0, 3, 3, 0], [2, 1, 2, 2, 3, 2, 0, 3], [3, 0, 3, 1, 1, 0, 0, 2]]","[-1.05, -1.0, 0.07]"
8,3,21.0741024017334,"[[1, 1, 1, 1, 1, 0, 0, 2], [2, 2, 3, 0, 1, 1, 2, 3], [1, 2, 3, 2, 3, 2, 1, 0]]","[0.7, 2.01, 2.98]"
8,3,9.394861221313477,"[[1, 0, 3, 0, 0, 0, 2, 1], [1, 2, 1, 0, 1, 3, 2, 3], [0, 2, 2, 2, 2, 1, 0, 1]]","[-2.05, -1.66, -0.15]"
8,3,14.934250831604004,"[[3, 1, 0, 3, 0, 2, 1, 2], [0, 3, 0, 0, 1, 3, 0, 2], [2, 1, 3, 3, 0, 3, 1, 1]]","[0.52, 0.6, 0.07]"
8,3,12.396605491638184,"[[2, 2, 3, 3, 2, 1, 2, 1], [0, 2, 3, 2, 3, 2, 2, 3], [3, 0, 2, 2, 0, 1, 0, 0]]","[0.68, 0.91, 0.37]"
8,3,23.46310234069824,"[[0, 0, 2, 0, 0, 1, 1, 1], [1, 3, 2, 2, 0, 2, 0, 2], [3, 0, 1, 2, 0, 2, 3, 3]]","[0.67, -0.43, -0.44]"
8,3,11.181833267211914,"[[3, 2, 2, 3, 3, 1, 1, 0], [1, 3, 2, 2, 2, 1, 0, 0], [2, 0, 0, 1, 2, 1, 3, 1]]","[-3.92, 2.1, 2.59]"
